Date,Open,High,Low,Close,Adj Close,Volume
2/1/2023,1586.488159,1644.727539,1566.8573,1641.792725,1641.792725,8116969489
2/2/2023,1641.365967,1704.45813,1641.322632,1643.241577,1643.241577,10558081069
2/3/2023,1642.904663,1670.696899,1634.223389,1664.745605,1664.745605,8169519805
2/4/2023,1664.47229,1690.099609,1648.189209,1667.059204,1667.059204,5843302512
2/5/2023,1667.166504,1671.770264,1616.391846,1631.645874,1631.645874,6926696531
2/6/2023,1631.645264,1653.715454,1611.319092,1616.24707,1616.24707,6919871886
2/7/2023,1616.009644,1673.797852,1614.863037,1672.00354,1672.00354,8030277434
2/8/2023,1671.905273,1688.527222,1635.265015,1650.716797,1650.716797,7806089579
2/9/2023,1651.082275,1655.234863,1537.182251,1546.438232,1546.438232,10524969124
2/10/2023,1546.596558,1553.325684,1504.834473,1514.869141,1514.869141,8397387897
2/11/2023,1514.941895,1541.334717,1510.146973,1539.926758,1539.926758,5064007416
2/12/2023,1539.776001,1545.554199,1501.462036,1515.033691,1515.033691,5319698775
2/13/2023,1514.916992,1524.731445,1470.023926,1507.165894,1507.165894,9363855114
2/14/2023,1506.992065,1562.034302,1497.194458,1556.875122,1556.875122,9249575045
2/15/2023,1556.765137,1674.289795,1545.689697,1673.745972,1673.745972,10015035156
2/16/2023,1673.867432,1732.801147,1638.145508,1640.067627,1640.067627,12704861676
2/17/2023,1640.280151,1716.78186,1636.173828,1694.783325,1694.783325,9802443159
2/18/2023,1694.741821,1705.309082,1683.670166,1691.819458,1691.819458,5491437195
2/19/2023,1691.680176,1718.947632,1673.906616,1681.436157,1681.436157,6959144003
2/20/2023,1682.337036,1716.48938,1659.295044,1702.675171,1702.675171,7703604237
2/21/2023,1702.797852,1714.285645,1642.396729,1658.036377,1658.036377,8721608198
2/22/2023,1658.140991,1663.996826,1604.803345,1643.231689,1643.231689,9189387004
2/23/2023,1643.298584,1674.601563,1632.566162,1651.073853,1651.073853,9013236167
2/24/2023,1650.895142,1661.091309,1583.147827,1608.373169,1608.373169,8909129423
2/25/2023,1608.658325,1608.865112,1567.631714,1594.914917,1594.914917,5657686235
2/26/2023,1594.761108,1645.273438,1590.393066,1640.817139,1640.817139,5727967432
2/27/2023,1640.763672,1662.575684,1615.387939,1634.326416,1634.326416,7239824677
2/28/2023,1634.502441,1644.435791,1602.428101,1605.895142,1605.895142,6323676957
3/1/2023,1606.040405,1663.433716,1601.548584,1663.433716,1663.433716,7701847224
3/2/2023,1663.549072,1672.051147,1622.599976,1647.319336,1647.319336,7080950926
3/3/2023,1647.557739,1648.475342,1552.451538,1569.167603,1569.167603,9922240199
3/4/2023,1569.278076,1575.637207,1551.736816,1566.92395,1566.92395,4389045367
3/5/2023,1567.179321,1584.208862,1559.954102,1564.46875,1564.46875,5020886238
3/6/2023,1564.383179,1579.456299,1557.363525,1567.398682,1567.398682,5245153345
3/7/2023,1567.424683,1579.162231,1543.127563,1561.933105,1561.933105,6854058349
3/8/2023,1561.977905,1568.175293,1534.088257,1534.088257,1534.088257,7130327525
3/9/2023,1534.031616,1544.108398,1423.264771,1438.660767,1438.660767,9457897583
3/10/2023,1438.760132,1438.760132,1378.525391,1429.158081,1429.158081,12665194936
3/11/2023,1429.10083,1484.136963,1428.723145,1482.616699,1482.616699,14917080154
3/12/2023,1482.431885,1607.152588,1461.610962,1590.292969,1590.292969,11480965122
